City,State,Population over 16 Years,Labor Force,Civilian Labor Force,Employed,Unemployed,Armed Forces,Not In Labor Force,Female Population,Female Labor Force,Female Civilian Labor Force,Female Employed,Have Children Under 6 Years,Have Children Under 6 Years And All Parents in Labor Force,Have Children Between 6 And 17 Years,Have Children Between 6 And 17 Years And All Parents In Labor Force,DP03_0018E,Commute Via Personal Vehicle,Commute Via Carpool,Commute Via Public Transportation,Commute Via Foot,Commute Via Other Means,Worked From Home,Mean Travel Time In Minutes,DP03_0026E,Occupation Management Business Science and Arts,Occupation Service,Occupation Sales and Office,Occupation Natural Resources Construction And Maintenance,Occupation Production Transportation and Material Moving,DP03_0032E,Industry Agriculture Forestry Fishing Hunting And Mining,Industry Construction,Industry Manufacturing,Industry Wholesale,Industry Retail,Industry Transportation Warehousing and Utilities,Industry Information,Industry Finance Insurance Real Estate Rental and Leasing,Industry Professional Scientific Management Administrative and Waste,Industry Educational Health Care And Social Assistance,Industry Arts Entertainment Recreation Accomodation And Food Services,Industry Other Services,Industry Public Administration,DP03_0046E,DP03_0047E,DP03_0048E,DP03_0049E,DP03_0050E,Total Households,Total Household Income Less than $10K,Total Household Income $10K-$15K,Total Household Income $15K-$25K,Total Household Income $25K-$35K,Total Household Income $35K-$50K,Total Household Income $50K-$75K,Total Household Income $75K-$100K,Total Household Income $100K-$150K,Total Household Income $150K-$200K,Total Household Income $200K Or More,Median Household Income,Mean Household Income,With Earnings,Mean Earnings,With Social Security,Mean Social Security Income,With Retirement Earnings,Mean Retirements Income,With Supplemental Income,Mean Supplemental Income,With Cash Public Assistance,Mean Cash Public Assistance Income,With Food Stamp/SNAP Benefits In The Past 12 Months,DP03_0075E,DP03_0076E,DP03_0077E,DP03_0078E,DP03_0079E,DP03_0080E,DP03_0081E,DP03_0082E,DP03_0083E,DP03_0084E,DP03_0085E,Median Family Income,Mean Family Income,Per Capita Income,DP03_0089E,Median Nonfamily Income,Mean Nonfamily Income,Median Earnings for Workers,Median Earnings for Full Time Males,Median Earnings for Full Time Females,DP03_0095E,DP03_0096E,DP03_0097E,DP03_0098E,DP03_0099E,DP03_0100E,DP03_0101E,DP03_0102E,DP03_0103E,DP03_0104E,DP03_0105E,DP03_0106E,DP03_0107E,DP03_0108E,DP03_0109E,DP03_0110E,DP03_0111E,DP03_0112E,DP03_0113E,DP03_0114E,DP03_0115E,DP03_0116E,DP03_0117E,DP03_0118E
New Orleans,LA,1019357,644484,640335,605541,34794,4149,374873,535107,319296,318072,302227,85993,63482,179196,139280,600263,461737,61231,13250,17277,14307,32461,26.5,605541,237010,124611,125375,56968,61577,605541,8869,49557,32230,18479,63767,38402,7725,30297,71796,147762,78596,29417,28644,605541,477063,82910,43990,1578,485267,44784,24130,48557,45542,56230,82931,56524,67532,28077,30960,55710,78752,369415,81676,152786,18344,107822,25438,28566,9062,7810,2864,59424,290947,12518,7297,24456,23394,29912,49875,42262,51845,23028,26360,73579,96760,31889,194320,33240,48888,35075,51550,40444,1257487,1141320,729735,538334,116167,295358,10791,756249,580458,548417,473810,405601,82105,74607,32041,22549,8481,15180,9492,175791,155577,71384,95169,20214
New Philadelphia,OH,73297,45151,45151,42651,2500,0,28146,37256,20040,20040,18422,6889,3408,13256,7638,42299,35750,3153,16,681,1129,1570,25.1,42651,11823,6940,8642,4581,10665,42651,1808,3186,9556,882,4753,2132,315,897,3710,8414,3817,1694,1487,42651,34161,5135,3324,31,36788,2200,1497,3768,4324,5065,8250,5306,4739,715,924,53616,66584,27295,66479,13069,16828,10296,21932,1478,10733,511,-999999999,4142,23917,1041,165,1449,2059,3823,6209,4310,3408,765,688,64420,76058,27251,12871,31303,45998,31121,47719,31629,91005,80948,59686,34441,10057,21633,3056,51413,40665,38506,33665,30395,4053,4841,2159,1828,1047,781,331,10748,8999,4967,5143,1749
New York,NY,15583548,10162922,10154155,9686984,467171,8767,5420626,8141915,4888788,4887979,4672281,1309682,893035,2604227,1841022,9490268,4668563,571192,3000640,559922,233277,456674,37.7,9686984,4348689,1848883,1904074,654210,931128,9686984,21126,584269,514399,257261,912079,625280,307124,878592,1335504,2580117,858524,428924,383785,9686984,7822852,1341956,506915,15261,7102817,435074,268328,470247,448768,629819,993525,809955,1198228,704022,1144851,83160,122967,5630455,128389,2127023,20246,1570574,33235,392250,9587,208857,3533,860962,4615773,147322,98754,227451,250342,395232,620593,533030,864227,546155,932667,101316,143088,46241,2487044,51845,80076,45934,65980,56431,19055829,17748286,12869223,6881309,1307543,4309828,131617,11714026,9350489,8932701,8116013,7136514,1154378,816688,417788,344787,191751,167327,73001,2363537,2112389,1199788,1063865,251148
Niles,MI,123771,73424,73424,69777,3647,0,50347,64076,35324,35324,33982,10310,6603,21173,14825,68647,56954,5444,475,1848,1057,2869,21.5,69777,23954,12794,13537,7420,12072,69777,1112,4790,13281,1568,6866,3801,1111,2559,5549,16034,7215,4152,1739,69777,59469,6085,3978,245,61809,4409,2082,7534,6526,10261,9534,6216,8748,3564,2935,50153,76451,45508,77301,22341,20703,18196,22188,3171,9757,1429,3074,6598,39496,1984,605,2847,3282,6827,6170,4925,7480,3116,2260,66322,89994,32237,22313,30262,48549,31337,49652,38548,152351,140860,100211,66723,11491,35850,2611,85936,65525,62181,55411,49884,7611,6770,3344,2808,1285,1631,536,20411,18868,9674,10864,1543
North Port,FL,717706,366328,365950,348069,17881,378,351378,376557,180083,180008,173216,34819,23408,91405,67353,342868,266466,34338,3466,3516,6281,28801,25.4,348069,125388,73458,84244,30887,34092,348069,1795,28770,17665,6989,47938,16461,6018,23725,48517,76303,39746,22694,11448,348069,289446,34644,23551,428,332582,11871,9486,28825,27503,45108,63314,46832,53886,18930,26827,65526,93544,200164,85090,172651,22965,138469,35814,13536,12210,4122,2421,22023,209953,4328,2645,9776,14893,25106,38471,34111,41681,17020,21922,81361,111428,39643,122629,43984,60434,31640,47369,36421,829975,734529,523893,372216,95446,141012,8007,417380,314054,299486,243479,229247,19440,56007,14568,8854,5766,3200,5714,103326,80374,57223,31034,22952
North Wilkesboro,NC,56918,31507,31273,29783,1490,234,25411,-999999999,-999999999,-999999999,-999999999,3304,1821,9040,6908,29407,24130,3141,137,891,0,1108,27.9,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,29783,508,1569,7428,713,4506,2423,175,660,1219,6101,1603,1409,1469,29783,24888,3396,1421,78,28376,2226,1152,4839,3010,4363,4636,3206,3622,979,343,43290,59466,18946,64104,12650,18617,6578,23377,1421,8392,645,1602,3659,17409,832,209,1722,1024,3293,3342,3073,2886,809,219,60153,70093,25146,10967,24592,39984,30846,40013,37303,67394,57597,42751,26738,9797,13675,690,38631,29090,27784,22757,21354,1835,5027,1306,185,126,185,1121,9541,6668,3312,4255,2873
Norwich,CT,221016,150356,142768,135915,6853,7588,70660,110743,69934,69718,66312,14952,11220,32495,25403,140151,113639,12284,1518,4039,1163,7508,23.8,135915,57145,31477,24914,8487,13892,135915,772,7820,17503,1692,16012,4830,920,6169,11675,34717,21207,6990,5608,135915,105345,22632,7805,133,109752,4270,2523,7429,8438,12913,18949,15663,20106,8787,10674,75633,98102,86534,94576,35464,22200,33426,32784,4432,12425,3892,3557,11952,70104,1214,746,2289,4808,7250,10599,10693,15466,7741,9298,95350,115915,40584,39648,47158,62220,38402,61268,48945,253080,241480,178234,99466,11600,53322,1062,151704,127335,121548,114192,97383,20230,7356,5787,4925,2480,2555,862,24369,22324,13663,10776,2045
Opelousas,LA,63817,33751,33433,31413,2020,318,30066,33030,15543,15505,14373,6290,4037,13347,9653,30958,26529,1489,68,1442,862,568,35.9,31413,7336,5792,7056,4532,6697,31413,1991,2948,2714,967,4333,2336,323,1606,2320,6758,2050,1946,1121,31413,25800,3844,1769,0,30441,3713,2310,4409,2726,5441,3705,4085,2604,999,449,38681,53665,21891,54865,12206,13682,7602,21931,2949,8189,556,1302,5440,20790,1886,612,2674,1432,4482,3236,3086,2182,934,266,46231,59568,21733,9651,18765,31536,29395,46569,35791,80764,74201,45644,36024,6563,22411,633,45080,30310,28510,24515,19859,5573,3995,1800,1525,455,1313,275,14770,13110,8043,6040,1660
Orangeburg,SC,69025,36568,36568,32667,3901,0,32457,37531,18873,18873,17385,5512,2668,11517,6536,31481,26591,2349,61,554,367,1559,30.5,32667,8014,5305,8146,3288,7914,32667,821,2101,5796,550,3393,2003,94,779,2826,7779,3028,1621,1876,32667,23829,6662,2105,71,32129,4902,2908,3285,4022,5103,4632,3053,3162,762,300,37701,52664,21462,57991,11380,16339,8356,17634,3867,8441,1744,2706,6912,20620,2073,1170,1896,2133,3837,3277,2459,2895,580,300,44648,64388,20726,11509,19149,27214,26669,42427,32084,85308,76213,46405,41651,9095,20351,365,47976,33576,29739,25701,23454,3382,4038,3837,1641,1080,642,2196,14400,11988,6036,7441,2412
Orlando,FL,2106602,1369329,1367887,1311650,56237,1442,737273,1087974,649060,648707,623072,168116,118883,359462,266114,1290880,999217,138892,18485,17489,26333,90464,30.2,1311650,497387,258547,308014,107699,140003,1311650,7998,101472,60653,32484,157603,78248,26044,96209,175234,245604,232347,55867,41887,1311650,1116467,123319,67219,4645,889822,41733,29240,71168,82823,128196,176481,121073,126440,54396,58272,61876,85246,714873,84196,274645,19883,192110,26712,46778,9721,17199,2396,107168,598677,20276,11344,35518,49003,75838,119155,94127,98914,43625,50877,72046,96829,31186,291145,41247,56219,31649,43159,36813,2588876,2270409,1693241,820553,318467,598653,39508,1600836,1274086,1224835,1035024,980163,88490,189811,49251,31995,23888,9717,17256,326750,260432,164607,115840,66318
Oshkosh,WI,140431,91553,91553,89405,2148,0,48878,69719,42782,42782,41962,11284,8812,22626,18190,88034,72512,6954,942,1560,990,5076,19,89405,29428,15873,20979,7530,15595,89405,881,5127,20074,2787,10889,3810,1291,6289,6206,18412,7548,3631,2460,89405,77245,8316,3779,65,71238,2509,2939,7084,6713,10632,13991,10267,10764,3148,3191,58347,77165,54412,77509,23171,19607,19632,20224,2942,10746,1058,2509,5284,41078,1184,625,3121,1941,5291,7978,6252,8841,2851,2994,76425,96735,32702,30160,40352,47288,36011,51333,41840,167455,158824,124469,55306,8631,38085,1967,101082,83073,81044,76174,71060,7744,4870,2029,1820,1034,1220,209,18009,16565,10129,7891,1444
Ottawa,IL,119801,73456,73456,70212,3244,0,46345,59921,34308,34308,33080,9521,6139,19355,14334,68078,58255,5673,113,1221,708,2108,24.3,70212,19782,12681,13415,8342,15992,70212,2567,5238,11738,1553,10612,6051,956,2692,3728,14415,5922,1986,2754,70212,58016,8025,4106,65,61983,3759,2571,5741,5919,8868,11824,8697,9472,3271,1861,58980,72171,45454,71245,23262,19349,19110,25239,3482,10679,1477,3966,7944,38483,1237,703,1823,2935,4062,8369,6523,8113,3027,1691,75398,88991,31380,23500,33498,41631,31902,54240,34930,143125,137548,106153,57390,5577,32265,706,82297,64709,62481,58710,52676,7933,3771,2228,1881,973,1062,347,17588,16849,10290,8161,739
Owensboro,KY,94708,56654,56520,54401,2119,134,38054,48203,26891,26782,25805,9899,5957,17519,12753,53294,44194,5270,230,1015,1161,1424,22.7,54401,17916,7869,11093,4918,12605,54401,1244,3730,10630,1614,6183,3486,343,2722,4460,13185,4108,1777,919,54401,44361,7207,2689,144,48419,3762,2052,5571,5264,6219,8788,7102,6020,1747,1894,52201,71654,34731,76624,16939,18170,14532,20082,2845,7821,244,1884,5477,32747,2099,707,2883,2454,3689,6250,6139,5472,1352,1702,68027,83814,29270,15672,28871,40842,34404,49815,40465,119084,111147,76910,48138,7937,29673,1852,68938,51826,49941,45940,40772,6156,4001,1885,1619,743,934,266,17112,15529,6954,9560,1583
Oak Harbor,WA,71356,43315,36814,34304,2510,6501,28041,34986,19549,18261,17406,6667,4849,7406,5887,39984,28278,4835,781,833,1156,4101,29.6,34304,12567,6214,7306,3998,4219,34304,848,2364,4104,673,4318,1914,836,1838,2567,7975,2870,1836,2161,34304,24776,6280,3077,171,35586,1895,393,1610,2206,5266,7185,5872,6428,2594,2137,72066,90484,25003,82739,13197,23060,14366,32417,773,9349,305,-999999999,1495,24165,583,286,380,1447,3712,4379,4279,5041,2189,1869,80315,100376,39005,11421,47321,64691,37559,52535,40244,78385,74422,59821,31742,3963,16046,768,41922,32627,30557,28450,26513,3095,2107,2070,1835,1666,515,235,9295,8525,5773,3434,770
Ocala,FL,307480,145818,145567,136306,9261,251,161662,162827,70439,70439,67403,20232,14481,38728,24862,135034,108100,13508,132,924,2216,10154,25.7,136306,43103,28549,33285,13328,18041,136306,1652,10960,8628,3117,19759,7021,1497,6646,15493,31065,14260,8382,7826,136306,110836,17496,7941,33,145622,9657,5570,19493,13739,24825,30528,18639,14439,4337,4395,49576,64731,84182,65036,74954,21211,55208,25620,8627,8956,2746,2703,18339,97424,4888,1275,8083,9300,16508,22862,14959,12244,3601,3704,58615,73281,27033,48198,30962,44654,30606,39426,34675,356778,312013,205874,172391,44765,71533,4635,179988,128821,120559,95013,88842,8421,25546,8262,3491,1669,2040,4771,51167,42026,20905,25510,9141
Ocean City,NJ,77852,45577,44577,42389,2188,1000,32275,40803,22329,22034,21020,4529,3415,10654,7999,43011,32620,4167,232,2625,1327,2040,24.1,42389,15763,10035,8416,5606,2569,42389,833,5220,729,887,3464,1505,522,3197,4294,10084,7664,1688,2302,42389,32134,8052,2056,147,40939,1723,1366,2774,3513,5390,6614,4972,6794,3492,4301,69980,98993,27935,98995,17487,24486,14245,31129,2336,11035,592,2102,3825,26792,734,257,805,1352,3000,4457,3774,5807,3020,3586,90719,119642,43852,14147,36513,57024,40519,55444,56062,89890,83788,61367,40763,6102,16831,320,49058,38095,36101,32204,27973,4650,3897,1994,1435,957,572,559,10963,9726,6052,4749,1237
Odessa,TX,120167,80520,80295,78322,1973,225,39647,59046,30807,30807,29898,18929,7722,30197,18763,77621,62302,8311,331,2048,1326,3303,24.5,78322,18452,9714,18104,15403,16649,78322,12061,8690,4931,2145,11098,7722,525,2773,4427,11389,6645,4536,1380,78322,63610,7786,6650,276,53155,2140,2005,5018,4110,6616,9016,6888,9936,4268,3158,67205,84688,46543,85783,10305,18078,6433,25095,2356,7405,417,-999999999,2562,36911,1767,643,1630,2765,3578,6325,5475,8578,3269,2881,83388,96469,28582,16244,40914,51690,39875,54491,35781,164993,129020,106549,33071,35973,52447,10528,97007,74758,73037,57227,55541,2295,15810,1721,447,404,93,1274,22249,13991,10176,4413,8258
Ogden,UT,498303,349683,345662,337304,8358,4021,148620,249614,156066,155397,151346,64077,35897,136410,92340,338537,269992,30399,5313,3397,5593,23843,24,337304,132199,46491,76955,35635,46024,337304,3806,25542,41516,8066,41526,14582,5122,21677,35831,70211,26141,15246,28038,337304,265571,56638,14567,528,218724,5673,4885,10610,14570,22606,43756,38893,45213,17710,14808,79251,96150,184685,94549,52102,20145,52208,28829,9179,11244,2253,2616,12694,168258,1632,1108,4990,8642,14633,34432,32700,40153,17040,12928,89638,106723,31814,50466,43396,54548,36098,60565,39691,674871,619842,553149,132441,55029,216850,14869,383395,314624,308130,279227,270605,16727,28903,6494,5096,4005,1247,1398,68771,59596,48578,16775,9175
Ogdensburg,NY,89611,47370,47346,44202,3144,24,42241,44393,23025,23001,21437,6222,3714,13654,7643,42599,31646,4666,15,2789,622,2861,21.3,44202,16872,8878,8263,4402,5787,44202,1878,2212,3462,346,5017,2093,585,1788,1646,16808,3381,1773,3213,44202,28165,12485,3088,464,42832,3657,2938,4571,4566,5124,6570,5242,6461,2357,1346,52108,68320,29846,68891,16502,18742,14216,25694,3651,10638,2737,3700,7239,27209,1624,1117,2371,1791,3861,4094,3682,5420,2046,1203,65685,81569,27195,15623,28101,41997,29173,53223,41330,103953,96677,69190,45108,7276,23277,3526,61885,43870,40918,38626,32654,7387,2292,2952,2636,989,1830,316,18015,16873,9721,8960,1142
Oklahoma City,OK,1103871,710019,701410,672690,28720,8609,393852,565815,333832,332921,318964,106246,69657,218309,160219,671488,563300,57032,3190,8706,9472,29788,23.7,672690,266089,114510,142982,67495,81614,672690,25958,45418,44299,16625,77376,36243,9625,39914,74369,155558,65362,33491,48452,672690,511195,113699,46092,1704,523919,31978,20435,45700,45990,69717,98507,68730,80618,30734,31510,60605,83830,417486,83688,142886,19592,122930,25719,23340,10026,13436,1709,52925,336261,11199,6914,18012,25687,39355,62649,52200,65911,27570,26764,76371,100656,32577,187658,37467,50407,35713,51312,39632,1386348,1216820,950346,433419,169528,362373,24354,826998,638775,613686,524795,507983,35796,88891,25089,14334,10562,4536,10755,188223,143854,96651,58303,44369
Olean,NY,61104,35247,35247,33941,1306,0,25857,30658,17151,17151,16549,5067,3039,10535,7117,33028,26670,3027,137,1289,590,1315,24.9,33941,12079,5887,5865,4251,5859,33941,942,2711,4747,550,3503,1554,82,1834,2068,9484,3480,1182,1804,33941,25462,6501,1872,106,33056,2085,2572,3845,3204,4445,6520,4905,3194,1311,975,50912,64706,23707,65498,12855,18714,9968,18901,2115,9480,775,2764,4815,20382,725,684,1429,1550,3070,4801,3585,2715,1173,650,62243,75440,28370,12674,28057,45145,31547,45218,39776,75396,69164,48622,34091,6232,17562,1930,42828,31560,30354,27407,22791,5330,2947,1206,1153,596,768,53,11268,10095,4820,6068,1173
Olympia,WA,236797,148593,143992,135360,8632,4601,88204,122212,70938,70452,66112,20825,13637,37665,27488,136647,104415,14638,5024,1769,1977,8824,28.2,135360,55227,24554,25667,11943,17969,135360,2609,11050,8666,3464,17197,5992,1515,5805,12268,25857,14111,4814,22012,135360,89215,37542,8369,234,112909,5059,3469,8037,7041,11640,18975,18638,22586,8970,8494,78512,93918,86311,90305,37649,21958,37751,28378,4279,10337,2862,3062,13627,73232,1814,1776,3102,2736,6950,11612,12746,17812,7334,7350,93142,109121,37040,39677,49577,61367,40028,58955,51913,283808,268709,210570,107047,15099,66519,1471,166739,130793,123182,114823,103578,16692,8359,7611,6634,2886,4366,977,35946,31727,20853,14847,4219
Omaha,NE,732690,518360,512546,493485,19061,5814,214330,373791,246302,245567,237289,78457,58450,154327,124035,492938,409001,41338,5123,9290,3903,24283,21.2,493485,212331,74169,102212,44572,60201,493485,6664,39247,39042,11307,50035,25549,10858,54370,57438,122086,39628,20863,16398,493485,409621,59739,23247,878,367037,17000,12375,26661,27961,42683,68474,55410,66502,25832,24139,70373,89617,300651,89350,97952,20922,82025,25323,12986,10331,5175,2220,29140,239408,4725,3884,10533,14475,24045,42953,40568,53766,23085,21374,85509,106310,35223,127629,42189,54511,40036,55636,44792,935146,862406,706759,253715,72740,253105,11628,551061,465946,450348,412197,398556,27350,38151,15598,8170,6188,2601,7428,85115,69950,46280,30051,15165
Oxnard,CA,676757,440133,436662,418904,17758,3471,236624,346211,202402,202006,194563,53742,34334,128221,90416,410451,325449,41786,5364,7544,5115,25193,27.8,418904,155905,78880,90621,50742,42756,418904,18859,26353,38074,11528,42380,17218,10924,28282,49679,84978,43628,24385,22616,418904,328609,61879,28013,403,268524,8133,5613,13429,14520,25070,37165,40415,54775,31873,37531,92236,121196,216186,116676,87108,20872,69923,36907,10480,9489,3630,4575,17360,193638,3423,1454,7232,10324,17136,23435,28487,42856,26953,32338,103818,134464,40293,74886,60967,78521,38768,58525,51049,838846,760018,555309,294922,78828,201696,8232,502043,399235,383222,331692,289731,49082,51530,16013,12067,7509,4960,3946,102808,88468,58078,35567,14340
Paducah,KY,76523,43463,43463,41950,1513,0,33060,40852,20991,20991,20541,6767,3736,13733,7828,41560,35542,3034,70,353,476,2085,19.3,41950,13296,7139,10044,4049,7422,41950,658,3009,4550,740,6871,3121,1138,1947,2453,9991,2731,1909,2832,41950,33319,7043,1506,82,40073,2554,2280,4927,5424,5312,8838,3866,4729,1015,1128,48856,66761,28678,66648,15672,18462,11727,19716,2014,9288,596,2438,4687,25119,1232,450,1926,3292,2759,6010,3489,4242,794,925,63225,76908,27978,14954,29205,47334,31037,48256,31543,94047,87096,56416,43302,6951,22269,1637,54030,39706,38243,34273,28796,6333,3970,1463,1134,604,576,329,14324,13437,6310,8300,887
Palatka,FL,60384,30195,30195,28541,1654,0,30189,30709,13781,13781,13051,4006,2470,9775,5697,28378,23146,2923,148,204,176,1781,33.6,28541,6691,5288,6518,5612,4432,28541,1402,3351,2482,809,4051,2303,390,827,2588,6759,1118,1218,1243,28541,21817,4780,1944,0,30866,2535,1408,3824,4541,5141,7263,2313,2609,949,283,42899,54394,20425,56230,14763,18027,9227,18622,2708,9645,271,1512,5058,20436,1567,614,2067,2354,3751,5128,1684,2122,993,156,49177,59356,22027,10430,26720,35337,30280,39042,31483,73528,61697,31695,39777,11831,16243,766,40016,28024,26689,18801,15971,3747,7888,1335,754,317,476,581,11992,9396,3464,7075,2596
Palm Bay,FL,506159,276823,274564,259299,15265,2259,229336,261054,133787,133397,125109,29554,19779,72913,52233,257007,213146,17591,912,3353,5900,16105,26.1,259299,103724,50794,53604,22417,28760,259299,1423,19391,31050,4572,31663,11999,3072,13092,36651,52515,26059,12443,15369,259299,213661,34730,10570,338,230043,9688,8424,20700,23176,37398,42706,29427,31428,14639,12457,57305,78841,152861,78233,105538,20947,86930,27696,8492,11094,3853,1811,19883,137134,2366,2623,6869,10187,17665,29677,20837,23409,12858,10643,74025,95625,32667,92909,38963,52245,32323,50448,39865,596398,533213,399645,239246,63185,116417,6751,335791,249491,236719,202531,191640,19836,34188,12772,7511,4844,3292,5261,86300,70152,45075,33872,16148
Panama City,FL,143035,89199,86845,83287,3558,2354,53836,73200,42925,42766,40562,10056,6928,22395,16971,83781,68913,8752,781,773,912,3650,26,83287,29802,14016,19738,9924,9807,83287,975,7839,4005,1651,10192,5764,794,5543,9025,15584,9841,5082,6992,83287,62584,15554,5149,0,69195,4546,1970,4934,5422,9992,15660,10863,8598,4280,2930,59450,76106,52460,72599,24338,19290,20673,25948,3038,10328,1855,1787,8464,46333,1467,710,2760,2546,6164,10910,8075,7436,3681,2584,70253,87169,31245,22862,37506,49575,31615,50116,35812,170632,149186,115330,61091,21446,37087,3073,101994,78700,75402,63029,59658,6587,12373,3298,1522,1115,676,1776,23294,19157,11643,9190,4137
Parkersburg,WV,73516,39226,38968,37483,1485,258,34290,37756,18702,18702,18295,5385,2486,12103,8124,36960,29724,3759,146,1426,199,1706,20.5,37483,11948,7465,8225,4344,5501,37483,443,2254,4502,333,5304,1374,391,1812,2392,10598,3993,1572,2515,37483,29603,6144,1696,40,36946,3641,2793,3098,4447,4850,6967,4735,3771,1612,1032,48680,64138,25243,62291,14745,19442,11838,22957,4430,10263,916,3289,7005,22548,682,796,1184,2572,2979,5109,3766,3228,1234,998,62483,80869,27237,14398,25773,35901,27414,41963,33971,88860,83878,51401,48428,4982,19346,310,51250,34870,33528,30694,24330,8311,2834,1342,942,382,632,400,16380,14997,6386,10167,1383
Pensacola,FL,406938,248140,232986,219274,13712,15154,158798,204932,116594,114437,108272,32238,23915,63910,46254,227268,169483,24816,961,6929,5243,19836,25.7,219274,80688,41513,50551,20505,26017,219274,1229,18494,10740,4742,26671,10290,4211,19702,24443,52025,24414,10689,11624,219274,178221,29577,11057,419,186805,11096,7768,19103,18814,25291,34492,24924,27407,8407,9503,56507,77205,139965,73226,69968,19000,54985,26265,11039,8173,2975,2543,22079,118229,3627,3029,8196,10105,14967,22491,18350,22144,7483,7837,71502,91628,30394,68576,34852,49004,31100,47061,36927,475205,418844,314612,178699,56361,110860,7549,280779,212357,200835,168013,157118,20870,32822,11522,5935,3649,3086,5587,68422,58224,34516,31129,10198
Peoria,IL,319006,192585,192431,183787,8644,154,126421,163358,93220,93169,90248,28050,20380,59689,44185,180733,152706,12738,1955,4016,1754,7564,20.7,183787,72993,34036,36463,16559,23736,183787,2917,10789,27049,4977,19062,8799,2613,11625,16012,50722,15383,7950,5889,183787,154548,20875,7826,538,162131,9055,7227,15538,14256,21440,30215,20568,24299,10386,9147,60372,81540,116364,82587,55042,21315,51118,28774,7504,10307,4215,2921,22808,99585,2353,1776,6272,6934,10017,19393,15400,19996,9233,8211,79812,101142,33904,62546,35725,46845,35252,55188,41119,393363,368939,279694,149196,24424,96640,5280,223941,175129,167751,155752,137243,22060,11999,7378,6155,2711,3616,1223,48812,43868,26432,20850,4944
Philadelphia,PA,4938756,3238388,3225277,3055821,169456,13111,1700368,2580340,1591643,1589166,1509053,397595,291118,845463,646521,3013833,2153323,239943,282412,106344,54114,177697,30.8,3055821,1392039,512533,620996,212206,318047,3055821,16044,180762,258548,78620,303649,158858,57938,255690,399819,832917,254049,132078,126849,3055821,2554418,358439,136476,6488,2323207,144503,81599,167190,171546,235626,366821,291922,382013,213594,268393,74533,104703,1820541,107297,741702,20651,605202,27946,142253,10298,71690,2257,299480,1490241,50434,29671,67319,84985,128990,218314,200878,296107,180318,233225,94793,125690,40930,832966,43305,63083,41589,62026,51343,6018780,5684133,4357496,2124723,334647,1390923,45110,3656786,2934645,2788896,2591927,2364293,290807,196969,145749,120058,67228,59119,25691,722141,660031,391090,330232,62110
Phoenix,AZ,3923235,2485867,2479080,2368094,110986,6787,1437368,1987770,1151465,1150537,1099465,348362,222825,747545,508308,2341707,1765948,251270,42925,35440,61052,185072,27.9,2368094,924696,410625,547720,218480,266573,2368094,16565,190987,175493,58881,282384,137438,39504,240424,318272,485079,226873,104266,91928,2368094,1953685,272475,137495,4439,1765135,86519,50450,127828,133705,227994,333128,243790,296130,126106,139485,67896,91755,1381595,90863,549721,21501,434433,29308,71848,10023,24453,2881,136707,1166907,37373,19693,57555,69642,137232,219539,177861,227484,103625,116903,79893,104659,34074,598228,44484,61263,36757,51014,42834,4888681,4335923,3183873,1685351,552758,1222606,111824,2880846,2276487,2184256,1883101,1694431,240333,301155,92231,69816,35212,37127,22415,604359,494660,296322,236024,109699
Pine Bluff,AR,73154,35667,35640,33702,1938,27,37487,35209,17447,17447,16736,6457,4128,10449,7437,33196,28541,2487,655,231,0,1282,22.4,33702,10240,7686,6109,2491,7176,33702,828,1292,6524,531,3042,1395,399,1340,1171,8543,2838,1778,4021,33702,22756,9152,1772,22,34290,3464,3813,3649,3233,6007,5689,3743,2860,552,1280,41541,56675,23814,60320,13067,17669,7389,19956,2825,7696,2301,3409,5041,21293,1428,1326,2258,1397,3591,4474,2865,2402,439,1113,53977,66701,21376,12997,28871,35605,28800,41274,33324,79572,73845,46705,36799,5727,19575,1565,45493,32294,30648,28702,25656,3898,1946,1646,1216,494,782,430,13199,11435,5891,6920,1764
Pinehurst,NC,82143,47056,43029,41846,1183,4027,35087,43056,22099,21712,20975,7248,5793,11483,8129,45073,34103,3398,14,402,2652,4504,26.3,41846,16280,9284,6373,4454,5455,41846,668,3063,3972,709,3936,2244,272,2774,4185,10378,5784,2093,1768,41846,32800,5097,3665,284,41530,2159,1388,4455,3623,4482,8436,5982,6031,2656,2318,62469,82882,29457,77338,17430,20413,13805,31015,1920,8336,1520,2271,3328,27191,756,794,1519,1498,2492,6004,4870,4820,2502,1936,78517,99220,35094,14339,34853,50152,34460,51632,41159,95850,86876,62998,41811,8974,22510,1970,49614,38066,36994,32377,30469,4522,4617,1072,573,557,243,499,11548,9660,5555,5253,1888
